no,added_date,added_at,title,artist,genre,country,release_year,bpm,key,hook_type,hook_location,hook_cue,lyric_theme,producer_takeaway,data_confidence,chart_source,source_type,youtube_url
1,2026.6.22,2026-06-22T22:47:43,Firework,Katy Perry,Pop,US,2010,124,Ab major,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Firework,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Katy+Perry+Firework+official
2,2026.6.22,2026-06-22T22:47:43,Roar,Katy Perry,Pop,US,2013,90,Bb major,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Roar,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Katy+Perry+Roar+official
3,2026.6.22,2026-06-22T22:47:43,Dark Horse,Katy Perry feat. Juicy J,Trap Pop,US,2013,132,Bb minor,attitude lyric + rhythm hook,chorus/title slogan,short title cue: Dark Horse,"persona, confidence, conflict, or aspiration stated through quotable rhythmic language","Create an original slogan and cadence; use the reference only for density, contrast, and section strategy.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Katy+Perry+feat.+Juicy+J+Dark+Horse+official
4,2026.6.22,2026-06-22T22:47:43,California Gurls,Katy Perry feat. Snoop Dogg,Dance Pop,US,2010,125,F major,title phrase + groove/melody hook,chorus or post-chorus,short title cue: California Gurls,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Katy+Perry+feat.+Snoop+Dogg+California+Gurls+official
5,2026.6.22,2026-06-22T22:47:43,The One That Got Away,Katy Perry,Pop Ballad,US,2010,134,E major,lyric statement + vocal melody hook,chorus or bridge climax,short title cue: The One That Got Away,"personal emotion, memory, regret, or recovery compressed into a title-centered chorus","Use restraint early, place one clear emotional sentence in the chorus, and reserve the largest layer for the final chorus.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Katy+Perry+The+One+That+Got+Away+official
6,2026.6.22,2026-06-22T22:47:43,I Kissed a Girl,Katy Perry,Pop Rock,US,2008,130,A minor,riff + chorus chant hook,intro motif and chorus,short title cue: I Kissed a Girl,"youthful tension, identity, or release expressed through band energy","Design a new riff or rhythmic identity; never reuse the source riff, topline, or lyric wording.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Katy+Perry+I+Kissed+a+Girl+official
7,2026.6.22,2026-06-22T22:47:43,Just Dance,Lady Gaga feat. Colby O'Donis,Dance Pop,US,2008,119,C# minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Just Dance,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Lady+Gaga+feat.+Colby+O'Donis+Just+Dance+official
8,2026.6.22,2026-06-22T22:47:43,Born This Way,Lady Gaga,Dance Pop,US,2011,124,B major,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Born This Way,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Lady+Gaga+Born+This+Way+official
9,2026.6.22,2026-06-22T22:47:43,Paparazzi,Lady Gaga,Dance Pop,US,2008,115,C minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Paparazzi,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Lady+Gaga+Paparazzi+official
10,2026.6.22,2026-06-22T22:47:43,Telephone,Lady Gaga feat. Beyonce,Dance Pop,US,2010,122,F minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Telephone,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Lady+Gaga+feat.+Beyonce+Telephone+official
11,2026.6.23,2026-06-23T03:06:38,Alejandro,Lady Gaga,Dance Pop,US,2009,99,B minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Alejandro,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Lady+Gaga+Alejandro+official
12,2026.6.23,2026-06-23T03:06:38,Toxic,Britney Spears,Dance Pop,US,2003,143,C minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Toxic,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Britney+Spears+Toxic+official
13,2026.6.23,2026-06-23T03:06:38,...Baby One More Time,Britney Spears,Teen Pop,US,1998,93,C minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: ...Baby One More Time,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Britney+Spears+...Baby+One+More+Time+official
14,2026.6.23,2026-06-23T03:06:38,Oops!... I Did It Again,Britney Spears,Teen Pop,US,2000,95,C# minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Oops!... I Did It Again,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Britney+Spears+Oops!...+I+Did+It+Again+official
15,2026.6.23,2026-06-23T03:06:38,Gimme More,Britney Spears,Dance Pop,US,2007,113,F# minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Gimme More,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Britney+Spears+Gimme+More+official
16,2026.6.23,2026-06-23T03:06:38,Genie in a Bottle,Christina Aguilera,Teen Pop,US,1999,88,F minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Genie in a Bottle,"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Christina+Aguilera+Genie+in+a+Bottle+official
17,2026.6.23,2026-06-23T03:06:38,Beautiful,Christina Aguilera,Pop Ballad,US,2002,76,Eb major,lyric statement + vocal melody hook,chorus or bridge climax,short title cue: Beautiful,"personal emotion, memory, regret, or recovery compressed into a title-centered chorus","Use restraint early, place one clear emotional sentence in the chorus, and reserve the largest layer for the final chorus.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Christina+Aguilera+Beautiful+official
18,2026.6.23,2026-06-23T03:06:38,Since U Been Gone,Kelly Clarkson,Pop Rock,US,2004,131,G major,riff + chorus chant hook,intro motif and chorus,short title cue: Since U Been Gone,"youthful tension, identity, or release expressed through band energy","Design a new riff or rhythmic identity; never reuse the source riff, topline, or lyric wording.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Kelly+Clarkson+Since+U+Been+Gone+official
19,2026.6.23,2026-06-23T03:06:38,Stronger (What Doesn't Kill You),Kelly Clarkson,Dance Pop,US,2011,116,A minor,title phrase + groove/melody hook,chorus or post-chorus,short title cue: Stronger (What Doesn't Kill You),"romance, confidence, escape, or celebration shaped into a repeatable pop title cue","Generalize the method: short title cue, clean groove, and controlled arrangement lift with a new melody and lyric.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Kelly+Clarkson+Stronger+(What+Doesn't+Kill+You)+official
20,2026.6.23,2026-06-23T03:06:38,Because of You,Kelly Clarkson,Pop Ballad,US,2004,70,F minor,lyric statement + vocal melody hook,chorus or bridge climax,short title cue: Because of You,"personal emotion, memory, regret, or recovery compressed into a title-centered chorus","Use restraint early, place one clear emotional sentence in the chorus, and reserve the largest layer for the final chorus.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Kelly+Clarkson+Because+of+You+official
21,2026.6.27,2026-06-27T22:04:09,Complicated,Avril Lavigne,Pop Rock,CA,2002,78,F major,lyric statement + vocal melody hook,chorus or bridge climax,short title cue: Complicated,"personal emotion, memory, regret, or recovery compressed into a title-centered chorus","Use restraint early, place one clear emotional sentence in the chorus, and reserve the largest layer for the final chorus.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Avril+Lavigne+Complicated+official
22,2026.6.27,2026-06-27T22:04:09,Sk8er Boi,Avril Lavigne,Pop Punk,CA,2002,149,D major,riff + chorus chant hook,intro motif and chorus,short title cue: Sk8er Boi,"youthful tension, identity, or release expressed through band energy","Design a new riff or rhythmic identity; never reuse the source riff, topline, or lyric wording.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Avril+Lavigne+Sk8er+Boi+official
23,2026.6.27,2026-06-27T22:04:09,Girlfriend,Avril Lavigne,Pop Punk,CA,2007,164,D major,riff + chorus chant hook,intro motif and chorus,short title cue: Girlfriend,"youthful tension, identity, or release expressed through band energy","Design a new riff or rhythmic identity; never reuse the source riff, topline, or lyric wording.",medium-low,,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Avril+Lavigne+Girlfriend+official
24,2026.6.27,2026-06-27T22:04:09,Fortnight,Taylor Swift feat. Post Malone,Alt Pop,US,2024,95,C major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Fortnight,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Taylor+Swift+feat.+Post+Malone+Fortnight+official
25,2026.6.27,2026-06-27T22:04:09,Used To Be Young,Miley Cyrus,Pop Ballad,US,2023,82,G major,lyric statement + vocal melody hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Used To Be Young,"intimate memory, vulnerability, recovery, or one emotional sentence expanded through the chorus","Start with restraint, reserve the largest emotional width for the final chorus, and write a new central sentence rather than borrowing lyric shape.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Miley+Cyrus+Used+To+Be+Young+official
26,2026.6.27,2026-06-27T22:04:09,Please Please Please,Sabrina Carpenter,Pop,US,2024,107,A major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Please Please Please,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Sabrina+Carpenter+Please+Please+Please+official
27,2026.6.27,2026-06-27T22:04:09,Taste,Sabrina Carpenter,Pop Rock,US,2024,112,C# minor,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Taste,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Sabrina+Carpenter+Taste+official
28,2026.6.27,2026-06-27T22:04:09,Birds of a Feather,Billie Eilish,Alt Pop,US,2024,104,D major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Birds of a Feather,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Billie+Eilish+Birds+of+a+Feather+official
29,2026.6.27,2026-06-27T22:04:09,What Was I Made For?,Billie Eilish,Piano Ballad,US,2023,78,C major,lyric statement + vocal melody hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: What Was I Made For?,"intimate memory, vulnerability, recovery, or one emotional sentence expanded through the chorus","Start with restraint, reserve the largest emotional width for the final chorus, and write a new central sentence rather than borrowing lyric shape.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Billie+Eilish+What+Was+I+Made+For%3F+official
30,2026.6.27,2026-06-27T22:04:09,Houdini,Dua Lipa,Dance Pop,UK,2023,117,F# minor,groove loop + title phrase hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Houdini,"movement, desire, release, nightlife, or confidence distilled into a loop-friendly title phrase","Create a fresh groove cell and title rhythm; change the motif, lyric angle, and topline completely.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Dua+Lipa+Houdini+official
31,2026.6.27,2026-06-27T22:07:18,Shivers,Ed Sheeran,Pop,UK,2021,141,D major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Shivers,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Ed+Sheeran+Shivers+official
32,2026.6.27,2026-06-27T22:07:18,Snooze,SZA,R&B,US,2022,143,F major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Snooze,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=SZA+Snooze+official
33,2026.6.27,2026-06-27T22:07:18,Agora Hills,Doja Cat,Rap Pop,US,2023,123,A minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Agora Hills,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Doja+Cat+Agora+Hills+official
34,2026.6.27,2026-06-27T22:07:18,Unholy,Sam Smith & Kim Petras,Electropop,UK/DE,2022,131,F# major,title phrase + melodic/rhythmic hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Unholy,"relationship, identity, desire, confidence, or emotional contrast built around a short title cue","Extract the principle: short title handle, clear rhythmic placement, and controlled arrangement lift, then write all melody and lyric material new.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Sam+Smith+%26+Kim+Petras+Unholy+official
35,2026.6.27,2026-06-27T22:07:18,Lovin On Me,Jack Harlow,Rap Pop,US,2023,105,C# minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Lovin On Me,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Jack+Harlow+Lovin+On+Me+official
36,2026.6.27,2026-06-27T22:07:18,First Class,Jack Harlow,Rap Pop,US,2022,107,F# minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: First Class,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Jack+Harlow+First+Class+official
37,2026.6.27,2026-06-27T22:07:18,I Had Some Help,Post Malone feat. Morgan Wallen,Country Pop,US,2024,128,G major,title image + chorus singalong hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: I Had Some Help,"place, memory, everyday detail, heartbreak, or resilience framed as a singable title image",Use one vivid new image as the title and let the chorus turn that image into a broader emotional statement.,medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Post+Malone+feat.+Morgan+Wallen+I+Had+Some+Help+official
38,2026.6.27,2026-06-27T22:07:18,Last Night,Morgan Wallen,Country Pop,US,2023,102,F# major,title image + chorus singalong hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Last Night,"place, memory, everyday detail, heartbreak, or resilience framed as a singable title image",Use one vivid new image as the title and let the chorus turn that image into a broader emotional statement.,medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Morgan+Wallen+Last+Night+official
39,2026.6.27,2026-06-27T22:07:18,A Bar Song (Tipsy),Shaboozey,Country Pop,US,2024,81,F# major,lyric statement + vocal melody hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: A Bar Song (Tipsy),"intimate memory, vulnerability, recovery, or one emotional sentence expanded through the chorus","Start with restraint, reserve the largest emotional width for the final chorus, and write a new central sentence rather than borrowing lyric shape.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Shaboozey+A+Bar+Song+%28Tipsy%29+official
40,2026.6.27,2026-06-27T22:07:18,Not Like Us,Kendrick Lamar,Hip-Hop,US,2024,101,B minor,rhythmic phrase + beat-pocket hook,"chorus, post-chorus, or title-tag area depending on arrangement",short title cue: Not Like Us,"status, conflict, confidence, place identity, or direct-response energy compressed into a memorable phrase","Design a new rhythmic catchphrase and beat pocket; keep the reference as market signal only, not a cadence or line source.",medium-low,Billboard Hot 100,github_actions_cloud_reference,https://www.youtube.com/results?search_query=Kendrick+Lamar+Not+Like+Us+official
